,Q 4.1,Q 4.2,Q 4.4,Q 4.5,Q 4.6,Q 4.7,Q 5.1,Q 5.2,Q 5.3,Q 7.1,Q 7.2,Q 7.3,Q 8.4,Q 8.6,Q 8.8,Q 9.1,Q 12.1,Q 12.2
47,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
48,3,3,3,3,3,3,4,4,4,3,3,4,2,2,2,2,2,2
49,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
50,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
53,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
54,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
55,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
56,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
57,4,4,4,4,4,4,2,2,2,4,4,3,2,2,2,2,2,2
58,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
59,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
60,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
61,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
62,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
63,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
64,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
65,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
66,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
67,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
68,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
69,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
70,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
71,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
72,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
73,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
74,2,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3
75,3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,1,1,1
76,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
77,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
78,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
79,4,4,4,4,4,4,3,3,3,4,4,3,1,1,1,1,1,1
80,3,3,3,3,3,3,4,4,4,3,3,3,2,2,2,2,2,2
81,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
82,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
83,3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,1,1,1
84,4,4,4,4,4,4,2,2,2,4,4,3,2,2,2,2,2,2
85,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
86,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
87,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
88,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
89,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
90,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
91,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
92,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
93,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
94,3,3,3,3,3,3,4,4,4,3,3,3,2,2,2,2,2,2
95,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
96,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
97,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
98,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
99,3,3,3,3,3,3,4,4,4,3,3,4,2,2,2,2,2,2
100,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
101,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
102,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
103,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2
104,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
105,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
106,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
107,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
108,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2
109,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
110,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
111,2,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1
112,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
113,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
114,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
115,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
116,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
117,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
118,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
119,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2
120,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
121,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
122,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2
123,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
124,3,3,3,3,3,3,4,4,4,3,3,3,2,2,2,2,2,2
125,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2
126,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
127,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
128,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
129,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
130,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
131,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
132,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
133,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
134,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
135,1,1,1,1,1,1,3,3,3,1,1,2,2,2,2,2,2,2
136,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
137,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
138,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
139,1,1,1,1,1,1,3,3,3,1,1,2,2,2,2,2,2,2
140,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
141,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3
142,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
143,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
144,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
145,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
146,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
147,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
148,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
149,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
150,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
151,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
152,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
153,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
154,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
155,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
156,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
157,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
158,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
159,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
160,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
161,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
162,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
163,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
164,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
165,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
166,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
167,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
168,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
169,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
170,3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,1,1,1
171,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2
172,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
173,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3
174,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
175,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
176,2,2,2,2,2,2,4,4,4,2,2,3,2,2,2,2,2,2
177,3,3,3,3,3,3,1,1,1,3,3,2,2,2,2,2,2,2
178,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
179,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
180,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
181,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3
182,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
183,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
184,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2
185,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
186,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
187,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
188,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
189,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
190,3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,1,1,1
191,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
192,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
193,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
194,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3
195,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
196,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
197,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
198,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
199,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
200,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
201,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
202,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
203,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
204,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
205,3,3,3,3,3,3,4,4,4,3,3,4,2,2,2,2,2,2
206,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
207,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
208,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
209,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
210,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
211,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
212,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
213,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
214,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
215,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
216,2,2,2,2,2,2,4,4,4,2,2,3,2,2,2,2,2,2
217,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
218,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
219,2,2,2,2,2,2,4,4,4,2,2,3,3,3,3,3,3,3
220,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
221,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
222,3,3,3,3,3,3,4,4,4,3,3,4,2,2,2,2,2,2
223,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
224,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2
225,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
226,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
227,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
228,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
229,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3
230,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
231,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
232,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
233,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
234,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
235,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
236,3,3,3,3,3,3,4,4,4,3,3,3,2,2,2,2,2,2
237,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
238,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
239,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
240,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
241,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
242,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
243,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
244,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
